address,display_name,builder_score
0x16047F2cCa5949B8339Cb256eaE042B41A3a3760,Arpita,51
0x38430336153468dcf36Af5cea7D6bc472425633A,Edward,214
0x95A83fb7e87E210C1b32a14b0fd9c84100D6a69d,Pranav Maheshwari,12
0x3Bd3EeeDf52328a832EE3d6d097dc3b72ec48fEa,chainrabbit,10
0x83573D44776c49cc30Db7C0E5DcaBfA20D542eAF,ManuAlzuru,18
0x45c7342C20a3B1B3A035994f5251cef80452b5E5,,
0xFa7F8980b0f1E64A2062791cc3b0871572f1F7f0,,
0xb749A586080436e616f097f193Ba9CB6A25E7Ea6,OrnellaWeb3,66
0x3ec5Fc2df45C78D995dC0A9CC0B3839E1dE6fcb8,,
0xD8aE9cf38F2feE38F7e67129e25fD26dbD85cD86,,
0xb5693B3FE31603DC8E83bfadf52C00FA294Ddc17,BlockDweller,40
0x8d25687829D6b85d9e0020B8c89e3Ca24dE20a89,Stephan,249
0x4c11F940E2D09eF9D5000668c1C9410f0AaF0833,Efrogs,12
0xC3F836EC06A2202af23e59997A613CA0722F35d1,Anthony Chávez,77
0x7A67AB1ADcf8589ad65d3DE96cde276bb87d64F4,,
0xdDC445bD732142f81a64a099227138f03D827424,,
0x6E8cE016Eb0B892669611CE87C755c1789C759ee,jojomensah.base.eth,3
0xDe31A9B6f5dc85c7e5b9B73b6719c84DDCf326e6,Filip Laurentiu ,56
0x476aF3a5F542d5db8c0dfE0288fd3d357F05156A,,
0xa2Ae42a1B1977120aC4f24018beCaDCd4BCF7c09,rahul0.eth,28
0xAADA2850028Ac902EC8Fd6eE99394458878BEdCF,keccak256,151
0x74319C333f26677688e58a72C4C0DafC508728d8,,
0xD2fAD1aa0E6e212FCC4f5d8665747f37a0185995,Maria,53
0x24b01c5acb0D81A8232122d661aF80D5457bdc37,Lourenço Ponces Duarte,
0xe3d359d6b273E60a9C7853AC7c204e80EeE288b7,,
0x87c24627E0496971391F57Da7E751C1aA25d8C14,,
0xcd166F2aB8e2327C546E3fB0d7f68a58dBeF9443,,
0xDE8Da96b368D2A4D75259b6923ABe927dCD6a14E,tekkac,4
0xc107d229c0654f693116f784663d9C221931d28D,,
0xe23C441305d6716401B57dF6C3C2b8d8f44A12eC,,
0xf23350B9bAFeb1667997dD2f4078B013bA922Eb4,,
0x6166E1964447E0959bC7c8d543DB3ab82dB65044,,
0x8c37041AD5E91A6E5fEEf86AFa12B3f4C1720985,,
0xB81E88279F3208001AEdA20689d3E5d818758dbf,Thibauld,34
0xc56BeAbA651e67bf1Da16DBd989Bc7fBa8393007,,
0xeF84F954e680876E865cb1E9369622F0E1B09862,,
0x9Ecf21085b13C62351D87c19F1BBdD23b83767Ff,,
0x1dAd4b46D7A1ed4302aEeE4E3e4901F35D9730F0,mrk1tty,151
0x47Df3Dd6673b3c78e259Ad354987Fc864F3CC1d3,Dumi,39
0x1B7765c3e3369962b547898A88bC6E4331b2C7cA,,
0xCCD8e973C54D6A04D2EbE0b9b050bb27694d968e,,
0x07C6E0F672aC802a8D365bb1856776ffD1933B52,,
0x6028dBD146289ebA20c0c5b4a0F2512D9365e02E,,
0x5eAbf4Ff5409Be88439a19cbb7fE0E8221242Fb2,,
0xc7486219881C780B676499868716B27095317416,Yoseph Ⓜ️,213
0xEDf1F30Be6Da3D4ab937d1C2A87768f961a2780E,,
0x90C32e6B29794Fd7f5BbA2BBEE74e924078B3f9b,r-tem,154
0xC2361F76Ff4309F29d2A51aDc7d93a9a69a19AA3,,
0x861d05cbFB81319f99a62B04CD253E31112ced5D,,
0xA2790537b3506B9508fEAf8029f3c1f964F3B9b9,okay🎩,13
0x4CbEe7aD42d33e9D3B41e8b6FAcA2f6f173C8A94,Kenil shah,199
0x344C011079A836f65964342402DdE53310D40FC2,Jeff Wentworth,59
0xD19680C163aa1d97817E1d5cb6114942B05Ab54B,Ricardo Marques,131
0x8016401D260726539BcbF1c05f6620944C04eD46,Giuseppe Rodriguez 📸,183
0x4107Bf6109C0F8b00313c35cdb43C2D565158C1f,,
0xfF15883A2eEEc9C3b74238230C9F898c4d79BA47,Pablo,32
0xc3bC8C90be794B4A6BeA6764bb3687e1D75E40EF,,
0xC7c7D9d19069312918147905e20b003D3B3B1E35,Philogicae,196
0x0511468bf7e4621F8186585977754F8fB456dFc1,Ihor B. (leyzerok.eth),30
0x706f9AC0C9d08d725B899cC8C2582620745CF930,bhlee🎩,143
0x2ACE52107F0fA44af03e8b6bf75b8C2A72d69cff,fudgydrs.base.eth,44
0x7532F22C2B613020B2165200fAb94B3b4BD7e4b4,dann,172
0xb9b4f325a15F5CB4DDCd6e12E42483Aa20E7Bf03,,
0x83aB8e31df35AA3281d630529C6F4bf5AC7f7aBF,skuhl,170
0xCB171Eb1b9bb01763326d1D842f3b5C6422Fdec9,Leo Stelon,175
0x8567d265820314B2fb8ec2402869Fd9334e47acf,,
0x403973200061781657806770FD03f6763D6C0243,Luke Youngblood,31
0x3CDA3aA0C2579E0479386B55f0E0E6694504151f,,
0xd9d0aa3FC1616Ee96Fe38F3EBaf9EAc3862a9d4e,,
0xf0a3108221A183E32F138dD1933394D58390b56B,llhoyh,36
0xefF66Ff2F73487Ac8148FF3D2e795B48A3a68d81,,
0x511024aBeF59a5baCcc3C6e5D09f8D7a74e72228,East,199
0x380bAeb7876e8cefc1792699a7E4D0B267cb2680,amyamy.base.eth,
0xfaEdc041E7fD8c106E90123D35195Af002B395E9,,
0x2484930A74674AA452cB5b83599A2797f0e3a939,Taio Newgate,36
0x33041027dd8F4dC82B6e825FB37ADf8f15d44053,leal.eth 🫡,361
0xe21A9bC92838fEDB1F1B7A601f526816F28871c2,,
0x0CD6cD282D0Ec825dff5421f0634Bdfa916Cb9DF,,
0xdF0a689A22B64C455AE212DBc13AF35f1B1dFD55,Khemmie-Ray.base.eth,136
0xd629349E77870C7f4e71050f241c7984d160B54a,Jacob Homanics,228
0x399F56CD72CA88f3873b3698A395083A44a9A641,,
0x425277f220B8c6616c6e2960b011bbe7e9d6ebf3,,
0x95dc7a9ed87A1c85c8fC0329eB477081149F3Dac,,
0x84E94F8032b3F9fEc34EE05F192Ad57003337988,,
0x76C9684d5AE0b4c59EA3B920ea2ecb710a9Bb319,,
0x71A07EbB65242D098C0A6992b525501F4981311D,Amelia,53
0x311C61A429B48C00531BB43b22f7F756B55188Bd,Hiromasa [🔵,↑],79
0x63eFEf6534087E3d6e2f622b7E89b8453184dDa6,nx,65
0x140F151a8f56251A3B12C76EaE16F9E17C29A6aF,,
0x93f6fdB246Da7204d2845230967725256493A0E5,,
0x2251FA49E8B4e0157Bdd588f169c929E80453a02,,
0x24E8C29275Abb5c61C94aDcD4211529470BafD6a,Solsverse,
0xE88ddC343052317480A204793426Be6319cfc700,,
0x35547adF962eAdf5768FC3340Aa535E78928c905,,
